Material;Preco;Atualizado
Painel metalico 20x20x14;R$ 89,00;
Painel metalico 30×30×20;R$ 178,58;
Painel metalico 40×30×25;R$ 199,72;
Painel metalico 40×40×20;R$ 187,21;
Painel metalico 50×40×25;R$ 240,77;
Painel metalico 50×50×20;R$ 377,06;
Painel metalico 60×50×20;R$ 338,93;
Painel metalico 60×60×20;R$ 558,37;
Painel metalico 70×50×20;R$ 474,62;
Centro Sobre PVC P/08 DISJ;R$ 68,00;
Centro Sobre PVC P/012 DISJ;R$ 73,00;
