Material;Preco;Atualizado
Interruptor DR Tipo A  2P 40A 30mA;R$ 280,00;
Interruptor DR Tipo A  2P 63A 30mA;R$ 299,00;
Interruptor DR Tipo A  4P 40A 30mA;R$ 298,00;
Interruptor DR Tipo A  4P 63A 30mA;R$ 299,00;
